"日期","收市","開市","高","低","成交量","更改%"
"2021年5月7日","599.00","594.00","600.00","589.00","28.72M","2.04%"
"2021年5月6日","587.00","590.00","590.00","580.00","33.17M","0.34%"
"2021年5月5日","585.00","594.00","594.00","585.00","31.79M","-1.02%"
"2021年5月4日","591.00","588.00","594.00","582.00","41.87M","0.51%"
"2021年5月3日","588.00","595.00","597.00","588.00","46.80M","-2.00%"
"2021年4月29日","600.00","609.00","609.00","600.00","35.76M","-0.33%"
"2021年4月28日","602.00","606.00","608.00","601.00","24.60M","-1.31%"
"2021年4月27日","610.00","608.00","611.00","605.00","26.76M","0.00%"
"2021年4月26日","610.00","605.00","610.00","603.00","32.43M","1.33%"
"2021年4月23日","602.00","592.00","602.00","590.00","29.00M","1.86%"
"2021年4月22日","591.00","596.00","598.00","591.00","35.44M","-0.17%"
"2021年4月21日","592.00","599.00","599.00","592.00","40.83M","-1.66%"
"2021年4月20日","602.00","598.00","602.00","595.00","35.98M","-0.17%"
"2021年4月19日","603.00","605.00","607.00","601.00","25.06M","-1.15%"
"2021年4月16日","610.00","610.00","611.00","603.00","49.95M","-1.45%"
"2021年4月15日","619.00","612.00","619.00","607.00","34.48M","1.14%"
"2021年4月14日","612.00","608.00","612.00","600.00","30.98M","1.16%"
"2021年4月13日","605.00","604.00","613.00","604.00","26.58M","0.00%"
"2021年4月12日","605.00","612.00","613.00","603.00","23.22M","-0.82%"
"2021年4月9日","610.00","618.00","618.00","609.00","31.60M","-0.49%"
"2021年4月8日","613.00","606.00","613.00","603.00","24.68M","0.49%"
"2021年4月7日","610.00","614.00","614.00","608.00","25.21M","0.00%"
"2021年4月6日","610.00","615.00","616.00","608.00","37.52M","1.33%"
"2021年4月1日","602.00","598.00","602.00","594.00","45.97M","2.56%"
"2021年3月31日","587.00","596.00","597.00","587.00","40.40M","-1.68%"
"2021年3月30日","597.00","600.00","600.00","592.00","34.02M","-0.33%"
"2021年3月29日","599.00","599.00","602.00","596.00","38.60M","1.53%"
"2021年3月26日","590.00","582.00","592.00","580.00","37.94M","2.61%"
"2021年3月25日","575.00","572.00","581.00","570.00","70.71M","-0.17%"
"2021年3月24日","576.00","571.00","582.00","571.00","114.24M","-3.03%"
"2021年3月23日","594.00","597.00","603.00","593.00","30.07M","0.17%"
"2021年3月22日","593.00","588.00","598.00","586.00","35.21M","0.34%"
"2021年3月19日","591.00","594.00","598.00","591.00","74.96M","-1.83%"
"2021年3月18日","602.00","606.00","609.00","602.00","29.93M","-0.33%"
"2021年3月17日","604.00","612.00","612.00","602.00","41.04M","-1.47%"
"2021年3月16日","613.00","610.00","613.00","607.00","37.59M","0.33%"
"2021年3月15日","611.00","614.00","614.00","609.00","27.76M","-0.49%"
"2021年3月12日","614.00","615.00","618.00","609.00","33.88M","0.82%"
"2021年3月11日","609.00","596.00","612.00","595.00","55.11M","2.01%"
"2021年3月10日","597.00","601.00","601.00","593.00","41.20M","0.34%"
"2021年3月9日","595.00","585.00","595.00","585.00","71.36M","-0.50%"
"2021年3月8日","598.00","608.00","610.00","598.00","45.33M","-0.50%"
"2021年3月5日","601.00","588.00","605.00","584.00","85.58M","0.00%"
"2021年3月4日","601.00","609.00","611.00","601.00","71.32M","-3.38%"
"2021年3月3日","622.00","609.00","622.00","601.00","49.35M","2.13%"
"2021年3月2日","609.00","621.00","622.00","609.00","55.44M","0.50%"
"2021年2月26日","606.00","611.00","618.00","606.00","137.93M","-4.57%"
"2021年2月25日","635.00","636.00","636.00","628.00","43.99M","1.60%"
"2021年2月24日","625.00","627.00","636.00","625.00","69.68M","-2.50%"
"2021年2月23日","641.00","641.00","643.00","633.00","51.64M","-1.38%"
"2021年2月22日","650.00","660.00","662.00","650.00","37.30M","-0.31%"
"2021年2月19日","652.00","656.00","657.00","647.00","51.65M","-1.21%"
"2021年2月18日","660.00","664.00","665.00","656.00","53.87M","-0.45%"
"2021年2月17日","663.00","663.00","668.00","660.00","109.49M","4.91%"
"2021年2月5日","632.00","638.00","641.00","631.00","57.35M","0.80%"
"2021年2月4日","627.00","626.00","632.00","620.00","47.01M","-0.48%"
"2021年2月3日","630.00","638.00","642.00","630.00","49.63M","-0.32%"
"2021年2月2日","632.00","629.00","638.00","622.00","79.98M","3.44%"
"2021年2月1日","611.00","595.00","612.00","587.00","68.88M","3.38%"
"2021年1月29日","591.00","619.00","619.00","591.00","96.88M","-1.66%"
"2021年1月28日","601.00","600.00","608.00","598.00","100.00M","-2.28%"
"2021年1月27日","615.00","618.00","625.00","611.00","61.49M","-0.32%"
"2021年1月26日","617.00","632.00","640.00","610.00","104.36M","-2.53%"
"2021年1月25日","633.00","642.00","646.00","626.00","96.64M","-2.47%"
"2021年1月22日","649.00","649.00","665.00","649.00","134.24M","-3.57%"
"2021年1月21日","673.00","640.00","679.00","640.00","91.91M","4.02%"
"2021年1月20日","647.00","633.00","650.00","631.00","84.45M","3.19%"
"2021年1月19日","627.00","618.00","632.00","613.00","51.68M","3.29%"
"2021年1月18日","607.00","608.00","608.00","594.00","46.62M","1.00%"
"2021年1月15日","601.00","621.00","625.00","601.00","101.00M","1.52%"
"2021年1月14日","592.00","587.00","597.00","587.00","78.29M","-2.15%"
"2021年1月13日","605.00","595.00","605.00","593.00","63.96M","2.37%"
"2021年1月12日","591.00","583.00","597.00","582.00","51.49M","1.20%"
"2021年1月11日","584.00","577.00","584.00","574.00","49.82M","0.69%"
"2021年1月8日","580.00","580.00","580.00","571.00","62.96M","2.65%"
"2021年1月7日","565.00","554.00","570.00","553.00","51.94M","2.91%"
"2021年1月6日","549.00","555.00","555.00","541.00","54.12M","1.29%"
"2021年1月5日","542.00","536.00","542.00","535.00","34.84M","1.12%"
"2021年1月4日","536.00","530.00","540.00","528.00","39.31M","1.13%"
"2020年12月31日","530.00","526.00","530.00","524.00","31.17M","0.95%"
"2020年12月30日","525.00","516.00","525.00","514.00","46.71M","1.94%"
"2020年12月29日","515.00","515.00","517.00","513.00","20.15M","0.00%"
"2020年12月28日","515.00","512.00","515.00","509.00","19.26M","0.78%"
"2020年12月25日","511.00","514.00","515.00","510.00","12.58M","0.20%"
"2020年12月24日","510.00","511.00","512.00","508.00","15.10M","0.20%"
"2020年12月23日","509.00","508.00","511.00","506.00","18.32M","0.00%"
"2020年12月22日","509.00","512.00","516.00","509.00","22.85M","-1.36%"
"2020年12月21日","516.00","512.00","517.00","508.00","35.05M","1.18%"
"2020年12月18日","510.00","508.00","512.00","507.00","40.63M","0.39%"
"2020年12月17日","508.00","515.00","515.00","508.00","38.71M","-0.78%"
"2020年12月16日","512.00","509.00","515.00","507.00","52.27M","1.59%"
