日期,收市
2021年5月7日,599
2021年5月6日,587
2021年5月5日,585
2021年5月4日,591
2021年5月3日,588
2021年4月29日,600
2021年4月28日,602
2021年4月27日,610
2021年4月26日,610
2021年4月23日,602
2021年4月22日,591
2021年4月21日,592
2021年4月20日,602
2021年4月19日,603
2021年4月16日,610
2021年4月15日,619
2021年4月14日,612
2021年4月13日,605
2021年4月12日,605
2021年4月9日,610
2021年4月8日,613
2021年4月7日,610
2021年4月6日,610
2021年4月1日,602
2021年3月31日,587
2021年3月30日,597
2021年3月29日,599
2021年3月26日,590
2021年3月25日,575
2021年3月24日,576
2021年3月23日,594
2021年3月22日,593
2021年3月19日,591
2021年3月18日,602
2021年3月17日,604
2021年3月16日,613
2021年3月15日,611
2021年3月12日,614
2021年3月11日,609
2021年3月10日,597
2021年3月9日,595
2021年3月8日,598
2021年3月5日,601
2021年3月4日,601
2021年3月3日,622
2021年3月2日,609
2021年2月26日,606
2021年2月25日,635
2021年2月24日,625
2021年2月23日,641
2021年2月22日,650
2021年2月19日,652
2021年2月18日,660
2021年2月17日,663
2021年2月5日,632
2021年2月4日,627
2021年2月3日,630
2021年2月2日,632
2021年2月1日,611
2021年1月29日,591
2021年1月28日,601
2021年1月27日,615
2021年1月26日,617
2021年1月25日,633
2021年1月22日,649
2021年1月21日,673
2021年1月20日,647
2021年1月19日,627
2021年1月18日,607
2021年1月15日,601
2021年1月14日,592
2021年1月13日,605
2021年1月12日,591
2021年1月11日,584
2021年1月8日,580
2021年1月7日,565
2021年1月6日,549
2021年1月5日,542
2021年1月4日,536
2020年12月31日,530
2020年12月30日,525
2020年12月29日,515
2020年12月28日,515
2020年12月25日,511
2020年12月24日,510
2020年12月23日,509
2020年12月22日,509
2020年12月21日,516
2020年12月18日,510
2020年12月17日,508
2020年12月16日,512
2020年12月15日,504
2020年12月14日,508
2020年12月11日,516
2020年12月10日,512
2020年12月9日,520
2020年12月8日,524
2020年12月7日,514
2020年12月4日,503
2020年12月3日,497
2020年12月2日,499
2020年12月1日,490
2020年11月30日,480.5
2020年11月27日,489
2020年11月26日,489
2020年11月25日,487
2020年11月24日,492
2020年11月23日,496.5
2020年11月20日,488
2020年11月19日,490
2020年11月18日,497
2020年11月17日,485.5
2020年11月16日,484
2020年11月13日,462
2020年11月12日,458
2020年11月11日,457
2020年11月10日,451
2020年11月9日,458.5
2020年11月6日,452.5
2020年11月5日,451
2020年11月4日,450
2020年11月3日,441
2020年11月2日,435.5
2020年10月30日,432
2020年10月29日,437
2020年10月28日,444
2020年10月27日,447
2020年10月26日,450
2020年10月23日,452
2020年10月22日,455
2020年10月21日,453
2020年10月20日,451
2020年10月19日,457.5
2020年10月16日,449
2020年10月15日,453
2020年10月14日,459
2020年10月13日,462
2020年10月12日,460
2020年10月8日,453
2020年10月7日,443
2020年10月6日,439.5
2020年10月5日,432.5
2020年9月30日,433
2020年9月29日,431
2020年9月28日,431.5
2020年9月25日,424
2020年9月24日,423
2020年9月23日,433.5
2020年9月22日,437
2020年9月21日,440
2020年9月18日,444
2020年9月17日,448.5
2020年9月16日,458
2020年9月15日,445
2020年9月14日,441
2020年9月11日,436.5
2020年9月10日,435
2020年9月9日,427
2020年9月8日,431
2020年9月7日,426
2020年9月4日,429
2020年9月3日,436
2020年9月2日,433
2020年9月1日,435
2020年8月31日,426.5
2020年8月28日,435
2020年8月27日,444
2020年8月26日,442
2020年8月25日,434.5
2020年8月24日,428
2020年8月21日,424.5
2020年8月20日,415
2020年8月19日,427.5
2020年8月18日,433
2020年8月17日,435
2020年8月14日,427
2020年8月13日,429
2020年8月12日,419
2020年8月11日,429
2020年8月10日,435.5
2020年8月7日,433
2020年8月6日,435
2020年8月5日,429
2020年8月4日,425.5
2020年8月3日,416
2020年7月31日,425.5
2020年7月30日,434
2020年7月29日,422
2020年7月28日,435
2020年7月27日,424.5
2020年7月24日,386
2020年7月23日,381.5
2020年7月22日,384
2020年7月21日,383
2020年7月20日,366
2020年7月17日,367
2020年7月16日,357.5
2020年7月15日,363
2020年7月14日,363.5
2020年7月13日,354.5
2020年7月10日,348.5
2020年7月9日,345
2020年7月8日,341
2020年7月7日,338.5
2020年7月6日,338
2020年7月3日,329.5
2020年7月2日,322
2020年7月1日,317.5
2020年6月30日,313
2020年6月29日,312
2020年6月24日,317.5
2020年6月23日,315
2020年6月22日,312
2020年6月19日,314.5
2020年6月18日,314.5
2020年6月17日,315
2020年6月16日,315
2020年6月15日,309.5
2020年6月12日,316
2020年6月11日,320.5
2020年6月10日,322.5
2020年6月9日,319
2020年6月8日,318
2020年6月5日,311.5
2020年6月4日,306
2020年6月3日,301
2020年6月2日,296.5
2020年6月1日,295.5
2020年5月29日,292
2020年5月28日,294
2020年5月27日,296.5
2020年5月26日,295.5
2020年5月25日,292
2020年5月22日,292
2020年5月21日,297.5
2020年5月20日,294
2020年5月19日,291.5
2020年5月18日,290
2020年5月15日,298
2020年5月14日,293
2020年5月13日,297
2020年5月12日,295
2020年5月11日,301
2020年5月8日,297.5
2020年5月7日,297.5
2020年5月6日,296
2020年5月5日,295.5
2020年5月4日,295
2020年4月30日,304.5
2020年4月29日,299
2020年4月28日,296.5
2020年4月27日,298
2020年4月24日,294
2020年4月23日,295.5
2020年4月22日,294
2020年4月21日,295
2020年4月20日,304
2020年4月17日,306.5
2020年4月16日,286.5
2020年4月15日,287.5
2020年4月14日,285
2020年4月13日,278.5
2020年4月10日,279.5
